,District,VDC,Direction,Bedroom,Bathroom,Living,Parking_sqft,Road_size_ft,Land_sqft,Price
0,Kathmandu,Sukedhara,East,3,6,3,85.0,13.0,1026.72,21500000.0
2,Kathmandu,Rabibhawan,South,5,5,1,85.0,20.0,1368.96,50000000.0
4,Kathmandu,Dahachowk,South,5,2,1,22.0,13.0,342.24,15000000.0
6,Kathmandu,Mandikatar,South,3,3,3,170.0,13.0,1026.72,25000000.0
8,Kathmandu,Pasikot,East,6,5,2,170.0,20.0,1711.2,47500000.0
10,Kathmandu,Naikap,East,7,4,3,85.0,13.0,1026.72,25500000.0
12,Kathmandu,Bhangal,South,5,4,1,85.0,13.0,1026.72,21000000.0
14,Kathmandu,Pepsicola,South West,0,0,0,,20.0,28748.16,67500000.0
16,Kathmandu,Pepsicola,East,0,0,0,,22.0,1711.2,50000000.0
18,Kathmandu,Gothatar,South West,3,2,1,,20.0,1368.96,21000000.0
20,Kathmandu,Dhumbarahi,North East,6,undefined,1,85.0,6.0,342.24,21500000.0
22,Kathmandu,Gothatar,North,3,2,1,,10.0,12320.64,17500000.0
24,Kathmandu,Pepsicola,West,7,4,2,,20.0,1026.72,26000000.0
26,Kathmandu,Shantinagar,East,7,5,2,,20.0,5475.84,57500000.0
28,Kathmandu,Budhanilkantha,South,7,5,2,,13.0,2053.44,44500000.0
30,Kathmandu,New Road,South,7,4,0,,20.0,21.39,90000000.0
32,Kathmandu,Kapan,South East,7,4,2,,13.0,1026.72,24500000.0
34,Kathmandu,Mahadevsthan,West,4,4,2,85.0,15.0,342.24,24500000.0
36,Kathmandu,Hattigauda,South,7,5,2,,16.0,5475.84,32500000.0
38,Kathmandu,Budhanilkantha,East,8,5,2,,20.0,2395.68,38500000.0
40,Kathmandu,Gothatar,South,3,2,1,,13.0,1026.72,15000000.0
42,Kathmandu,Sinamangal,East,0,0,0,,32.0,342.24,100000000.0
44,Kathmandu,Shantinagar,East,6,4,2,,20.0,342.24,45000000.0
46,Kathmandu,Shantinagar,East,9,7,2,,20.0,342.24,60000000.0
48,Kathmandu,Shantinagar,East,20,15,4,,20.0,1711.2,55000000.0
50,Kathmandu,Shantinagar,East,18,8,4,,20.0,8213.76,65000000.0
52,Kathmandu,Shantinagar,East,28,20,5,,20.0,2053.44,65000000.0
56,Kathmandu,Pepsicola,North,7,4,2,,20.0,8213.76,30000000.0
58,Kathmandu,Pepsicola,East,7,4,2,,20.0,342.24,38000000.0
60,Kathmandu,Gongabu,North West,4,4,2,170.0,13.0,1026.72,26000000.0
64,Kathmandu,Safray Dhunga,East,4,4,2,170.0,13.0,342.24,27500000.0
66,Kathmandu,Baluwatar,South East,9,6,2,,26.0,342.24,90000000.0
68,Kathmandu,Naxal,East,7,4,2,,13.0,2737.92,100000000.0
70,Kathmandu,Bhangal,East,6,4,2,,13.0,2737.92,
